Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07/.svn/pristine/dc,6933,6933,0,"100.00"
/ofbiz13.07/.svn/pristine/dd,7082,7082,0,"100.00"
/ofbiz13.07/.svn/pristine/de,8686,8686,0,"100.00"
/ofbiz13.07/.svn/pristine/df,2516,2516,0,"100.00"
/ofbiz13.07/.svn/pristine/e0,3987,3987,0,"100.00"
/ofbiz13.07/.svn/pristine/e1,6966,6966,0,"100.00"
/ofbiz13.07/.svn/pristine/e2,6382,6382,0,"100.00"
/ofbiz13.07/.svn/pristine/e3,2390,2390,0,"100.00"
/ofbiz13.07/.svn/pristine/e4,4685,4685,0,"100.00"
/ofbiz13.07/.svn/pristine/e5,3220,3220,0,"100.00"
/ofbiz13.07/.svn/pristine/e6,2681,2681,0,"100.00"
/ofbiz13.07/.svn/pristine/e7,3282,3282,0,"100.00"
/ofbiz13.07/.svn/pristine/e8,3272,3272,0,"100.00"
/ofbiz13.07/.svn/pristine/e9,5426,5426,0,"100.00"
/ofbiz13.07/.svn/pristine/ea,8416,8416,0,"100.00"
/ofbiz13.07/.svn/pristine/eb,1744,1744,0,"100.00"
/ofbiz13.07/.svn/pristine/ec,8753,8753,0,"100.00"
/ofbiz13.07/.svn/pristine/ed,18016,18016,0,"100.00"
/ofbiz13.07/.svn/pristine/ee,1561,1561,0,"100.00"
/ofbiz13.07/.svn/pristine/ef,3587,3587,0,"100.00"
/ofbiz13.07/.svn/pristine/f0,4238,4238,0,"100.00"
/ofbiz13.07/.svn/pristine/f1,5867,5867,0,"100.00"
/ofbiz13.07/.svn/pristine/f2,2778,2778,0,"100.00"
/ofbiz13.07/.svn/pristine/f3,37172,37172,0,"100.00"
/ofbiz13.07/.svn/pristine/f4,11369,11369,0,"100.00"
/ofbiz13.07/.svn/pristine/f5,4069,4069,0,"100.00"
/ofbiz13.07/.svn/pristine/f6,3272,3272,0,"100.00"
/ofbiz13.07/.svn/pristine/f7,5397,5397,0,"100.00"
/ofbiz13.07/.svn/pristine/f8,7417,7417,0,"100.00"
/ofbiz13.07/.svn/pristine/f9,13375,13375,0,"100.00"
/ofbiz13.07/.svn/pristine/fa,3956,3956,0,"100.00"
/ofbiz13.07/.svn/pristine/fb,3323,3323,0,"100.00"
/ofbiz13.07/.svn/pristine/fc,5422,5422,0,"100.00"
/ofbiz13.07/.svn/pristine/fd,2100,2100,0,"100.00"
/ofbiz13.07/.svn/pristine/fe,21619,21619,0,"100.00"
